
"first_seen_utc", "sha256_hash", "md5_hash", "sha1_hash", "reporter", "file_name", "file_type_guess", "mime_type", "signature", "clamav", "vtpercent", "imphash", "ssdeep", "tlsh"
"2024-11-05 10:18:16", "0f2a1709c76bc4de9e0c41e7eff8a9033563cb8803afa88157174c772ffa0fa9", "a71d7d808316257833c717a0e146fcfb", "1eda56cb1d22c1f2c0fdb3d98eeccae7c055b0f0", "lowmal3", "2407821277133588494.js", "js", "text/plain", "StrelaStealer", "n/a", "14.52", "n/a", "12288:HRpHOFjQoBF8qDIcGpXdOOO9FWGpXdOOO9F1p7p5:HRpHkvBSqDIcGpUWGpU1p7p5", "T15C35B0F0CEFF0197682E41475A2DAA1A4E525F312D2198D5BEEF2284C72CDC85EE7C16"
"2024-11-05 10:17:41", "f5ab0441547e1e4836538351f489fe5e1c75acb041851c23582a7fd02de833f8", "410d6b39f260c15b8f14f88a5f8464aa", "ec09552fdf4d7dcf39e86f7725bd59c6a68f126e", "lowmal3", "TCP-F02-24-1437-HRSC24110281.exe", "exe", "application/x-dosexec", "Formbook", "n/a", "81.94", "948cc502fe9226992dce9417f952fce3", "49152:qTvCuMTQYxsWR7aH6D80VTnOvMtbagg2lK4gFIDRRAubt5M:aETQYxsWR/80VzOvSagAUf", "T106A5F1027381D063FF9B92734F56E6115B7C6A660123A62F03A81DB9FE701B1563E7A3"
"2024-11-05 10:15:32", "9a47458c8a24a23c23f98f1eb2a803e4f76af01416abeef174216a1172e698ca", "dae6de693f924b1d4d04695abf8e9b5d", "6c6699f15473d7f1523943d1dff98a1547c74755", "lowmal3", "2877872483264021301.js", "js", "text/plain", "StrelaStealer", "n/a", "17.74", "n/a", "12288:rn6CG2gvJlmRHFXeElQjwbxb+jbMtlvmclmmcWbKEL:rnBGXX+qIvFmvs", "T12135A085D21D6F7D7EBAC8C34C0BA8BC8E94AC32793216FD80571D8B953587B5B23219"
"2024-11-05 10:08:02", "8719c5b0a3e06ac898c9f19efbdcb458c3c4cba88a1b30f0ea7cf69080d51d83", "9386dc98f714d696882f8d00d3c77ba5", "a262c1585e44d1c020e8c2d5421480480473fa7e", "mohit", "DLT.apk", "apk", "application/zip", "n/a", "n/a", "n/a", "n/a", "786432:WgNOTuqAyp2BIxrsVYyVh0gWChTGIabDHIbtnZFoQG2MdfHUFYB+lFV8wfdVHEMz:Wa1pOsNh0gRs7IbtZFokHGsFVbfLHE4z", "T1DBB73346F354E95AC8F3573185724310A51ACCA68B83D2C37A44BB3C9DB37E04E9AED6"
"2024-11-05 10:05:22", "b6f975a0d8e3b8aed988aed8e9bffe80a267f735670cbaa6002e693677734532", "ccec406b9063de8bf2ee3d04838563d4", "82f74d93745abeaf5e0669b54e1234e9dcb8b19c", "lowmal3", "10289118772168318999.js", "js", "text/plain", "StrelaStealer", "n/a", "14.52", "n/a", "12288:naSuFtn6EgNRBTEqnPXIPjvdJt6YRhWLe1hiDEsZZ3zeY5Mvp1U+x0hNlhIzZ56v:YBPfxYjHpiDLY8AOipAO4Ie/o", "T16E65A0272F293FC54C94BD4909BC7A299959CE31DB12ACF694B321076D247D83EF2D28"
"2024-11-05 10:04:59", "24de759c141ec60a2d89352e581ccc47b83d0240702283903e8cbdd1d9745265", "e094f4ca0bcf4795c43c37b71cd65001", "dbe62e4ab2ba669fc5670b2aacbefca1784798f4", "lowmal3", "FACTURA Nº A 178 CASES XALÓ S.L Nº 17102024 REFª MARQUESINA MOLÍ DEL GINER.exe", "exe", "application/x-dosexec", "n/a", "n/a", "21.13", "7ed0d71376e55d58ab36dc7d3ffda898", "24576:vbDc7+6xit+u3UjQqNATwJe9YESd4+/dD+la:vbDcUxOSBdSd4XM", "T1F7052317DE90F171C82605B2756F82BD1BA9EC125FC0040313607FE9EA3FA47A9B9B59"
"2024-11-05 10:04:35", "a2afa8f6d5332fac017eaf74433f773eaff949400cc6da0eaa7cfcbd9710350b", "5b61548ffb6f4bd57bc1810908420bcb", "34f8c8c0ef6033c89f8e0fc41652cc71a61b678c", "lowmal3", "19580126393611775.js", "js", "text/plain", "StrelaStealer", "n/a", "14.52", "n/a", "12288:G4RmdyJgb7Aef9Bgs+iTyZSyJ6jTy92E11T11LDeT11L8/l:xGLbUe/gtc8D11G114", "T10D55BF32E79B3D177D94868A458D6C1E491A5C337D60BCE4E5663E1F8830BE3E2D2938"
"2024-11-05 10:04:12", "38424fff549dc82b35febc399c43d6fa7fa88f694a5adef66206f3570ab95433", "2b22f34627cf57d5725dedfadadeade9", "d5d476a105929821ea26912cf61885a59cb2c5d7", "lowmal3", "Detalles de la factura_________________________pdf.exe", "exe", "application/x-dosexec", "SnakeKeylogger", "n/a", "47.22", "f34d5f2d4577ed6d9ceec516c1f5a744", "6144:vE7Ugoh72RxmJ6lwyGb/oqhiNRhbtVTi5/:AUgbRGaqyg", "T1A0847303F79B47B2E2AA1B36D59B050007B4ED45E3ABD71E398A13AB0823777DD81617"
"2024-11-05 10:03:49", "6ba36d314cd386365dee1b655ee1fc3da1da579fd1187155ad7a763cb74174dc", "7860ba649127767166643fb252944fbf", "d09e8f6338ce9329078955ea6b931bfed0f7efcb", "lowmal3", "1419428542672313520.js", "js", "text/plain", "StrelaStealer", "n/a", "14.52", "n/a", "6144:BVGJzsy2bWtDcI/20VZjDI+dWoD3zhljGE93ab/eYTiLzTCsyPaYPU3KfkIoQD1V:OZqdSeb5vPjlb3QlP8jZZs8jZZ2bq", "T17A35AE88D927252F483A078C8C67FB518D889F541E66C5F5ECEF1DC94B3F2AB805781A"
"2024-11-05 10:03:04", "ca0d0f7f991cb7330aff7547dc68538d97093252831c8b768b304cd229189660", "f02186fd88a55b0cf02c4b000ca7e7db", "297e57833e0a367f477fcd346865e44ae9f8b28f", "lowmal3", "RFQ#SSM-354459.exe", "exe", "application/x-dosexec", "n/a", "n/a", "n/a", "948cc502fe9226992dce9417f952fce3", "24576:gqDEvCTbMWu7rQYlBQcBiT6rprG8ai72sID+3eMKbT:gTvC/MTQYxsWR7aiO+6", "T13135BF0273C1C062FF9B92334B5AF6515BBC69260123E52F13A81DB9BE705B1563E7A3"
